# Colour audit — design-system, blog
# Generated by scripts/audit-colour-history.mjs. Evidence, not a source: every value here
# already originates somewhere, and nothing may read this file to obtain a colour.
# Regenerate with: node scripts/audit-colour-history.mjs
#
# 304 distinct values authored on or after 2026. AUTHORED=97 INCIDENTAL=21 RETIRED=162 VENDORED=24
# AUTHORED live in a theme/token/component file · INCIDENTAL live only in one-off surfaces
# VENDORED live only in imported artwork · RETIRED present in history, gone at HEAD
#
hex	tag	family	hue	L	C	commits	first	last	repos	site
#8b8a80	RETIRED	neutral	102	0.631	0.015	4	2026-08-30	2026-08-30	design-system	
#a1a2ac	RETIRED	neutral	281	0.715	0.014	4	2026-08-30	2026-08-30	design-system	
#a21657	RETIRED	pink	360	0.471	0.177	4	2026-08-30	2026-08-30	design-system	
#a4123f	RETIRED	pink	12	0.465	0.176	4	2026-08-30	2026-08-30	design-system	
#a8a8c0	RETIRED	neutral	286	0.739	0.034	4	2026-08-30	2026-08-30	design-system	
#c4b5fd	RETIRED	violet	294	0.811	0.101	4	2026-08-30	2026-08-30	design-system	
#ddd6fe	RETIRED	violet	293	0.894	0.055	4	2026-08-30	2026-08-30	design-system	
#0f0c24	RETIRED	violet	286	0.174	0.048	3	2026-08-14	2026-08-14	blog	
#15122e	RETIRED	violet	285	0.203	0.054	3	2026-08-14	2026-08-14	blog	
#161033	RETIRED	violet	287	0.204	0.066	3	2026-08-14	2026-08-14	blog	
#1a1836	RETIRED	violet	284	0.229	0.057	3	2026-08-14	2026-08-14	blog	
#231a4c	RETIRED	violet	287	0.261	0.089	3	2026-08-14	2026-08-14	blog	
#231b46	RETIRED	violet	288	0.258	0.077	3	2026-08-14	2026-08-14	blog	
#271f4b	RETIRED	violet	289	0.275	0.078	3	2026-08-14	2026-08-14	blog	
#2c2459	RETIRED	violet	286	0.301	0.092	3	2026-08-14	2026-08-14	blog	
#362768	RETIRED	violet	290	0.329	0.109	3	2026-08-14	2026-08-14	blog	
#3f317b	RETIRED	violet	288	0.371	0.121	3	2026-08-14	2026-08-14	blog	
#433678	RETIRED	violet	289	0.383	0.108	3	2026-08-14	2026-08-14	blog	
#4d3d8f	RETIRED	violet	289	0.422	0.130	3	2026-08-14	2026-08-14	blog	
#5c4a9c	RETIRED	violet	291	0.469	0.128	3	2026-08-14	2026-08-14	blog	
#614eac	RETIRED	violet	289	0.492	0.144	3	2026-08-14	2026-08-14	blog	
#7e69c8	RETIRED	violet	292	0.584	0.142	3	2026-08-14	2026-08-14	blog	
#8b5a2b	RETIRED	orange	62	0.512	0.090	3	2026-08-14	2026-08-14	blog	
#c28e46	RETIRED	orange	73	0.683	0.109	3	2026-08-14	2026-08-14	blog	
#e6b168	RETIRED	orange	74	0.794	0.110	3	2026-08-14	2026-08-14	blog	
#ffd28a	RETIRED	yellow	79	0.887	0.103	3	2026-08-14	2026-08-14	blog	
#0d0d0d	RETIRED	neutral	90	0.159	0.000	2	2026-08-25	2026-08-25	blog	
#113322	RETIRED	green	159	0.290	0.051	2	2026-08-30	2026-08-30	design-system	
#7c3aed	RETIRED	violet	293	0.541	0.247	2	2026-07-30	2026-07-30	blog	
#b45309	RETIRED	orange	49	0.555	0.146	2	2026-07-30	2026-07-30	blog	
#008300	RETIRED	green	142	0.529	0.180	1	2026-07-30	2026-07-30	blog	
#00cee9	RETIRED	cyan	211	0.781	0.136	1	2026-07-30	2026-07-30	blog	
#0d9488	RETIRED	teal	185	0.600	0.104	1	2026-07-30	2026-07-30	blog	
#104281	RETIRED	blue	257	0.385	0.118	1	2026-07-30	2026-07-30	blog	
#111166	INCIDENTAL	blue	271	0.259	0.141	1	2026-09-09	2026-09-09	design-system	design-system/docs/adr/0002-one-source-many-emitted-surfaces.md
#112211	RETIRED	green	144	0.231	0.039	1	2026-08-30	2026-08-30	design-system	
#162c57	RETIRED	blue	262	0.301	0.083	1	2026-07-30	2026-07-30	blog	
#199e70	RETIRED	teal	163	0.621	0.128	1	2026-07-30	2026-07-30	blog	
#1a1a19	RETIRED	neutral	107	0.217	0.002	1	2026-07-30	2026-07-30	blog	
#1baf7a	RETIRED	teal	162	0.669	0.141	1	2026-07-30	2026-07-30	blog	
#1c3a79	RETIRED	blue	263	0.364	0.114	1	2026-07-30	2026-07-30	blog	
#1f489f	RETIRED	blue	263	0.427	0.149	1	2026-07-30	2026-07-30	blog	
#2055ca	RETIRED	blue	263	0.490	0.191	1	2026-07-30	2026-07-30	blog	
#256abf	RETIRED	blue	256	0.527	0.150	1	2026-07-30	2026-07-30	blog	
#2a66ea	RETIRED	blue	263	0.553	0.209	1	2026-07-30	2026-07-30	blog	
#2a78d6	RETIRED	blue	256	0.575	0.163	1	2026-07-30	2026-07-30	blog	
#2cb7cd	RETIRED	cyan	211	0.718	0.116	1	2026-07-30	2026-07-30	blog	
#305057	RETIRED	cyan	213	0.409	0.039	1	2026-07-30	2026-07-30	blog	
#36636c	RETIRED	cyan	212	0.471	0.052	1	2026-07-30	2026-07-30	blog	
#38a1b3	RETIRED	cyan	211	0.657	0.097	1	2026-07-30	2026-07-30	blog	
#3a7782	RETIRED	cyan	211	0.533	0.065	1	2026-07-30	2026-07-30	blog	
#3b8b9a	RETIRED	cyan	212	0.594	0.080	1	2026-07-30	2026-07-30	blog	
#447df6	RETIRED	blue	263	0.616	0.191	1	2026-07-30	2026-07-30	blog	
#4a3aa7	RETIRED	violet	284	0.433	0.167	1	2026-07-30	2026-07-30	blog	
#4d7c0f	RETIRED	green	132	0.532	0.141	1	2026-07-30	2026-07-30	blog	
#5598e7	RETIRED	blue	254	0.671	0.136	1	2026-07-30	2026-07-30	blog	
#57534e	RETIRED	neutral	74	0.444	0.010	1	2026-07-30	2026-07-30	blog	
#5f94ff	RETIRED	blue	263	0.680	0.168	1	2026-07-30	2026-07-30	blog	
#86b6ef	RETIRED	blue	253	0.764	0.097	1	2026-07-30	2026-07-30	blog	
#9d174d	RETIRED	pink	4	0.459	0.170	1	2026-07-30	2026-07-30	blog	
#e34948	RETIRED	red	25	0.623	0.191	1	2026-07-30	2026-07-30	blog	
#e87ba4	RETIRED	pink	357	0.716	0.141	1	2026-07-30	2026-07-30	blog	
#eb6834	RETIRED	orange	41	0.671	0.175	1	2026-07-30	2026-07-30	blog	
#eda100	RETIRED	yellow	75	0.764	0.161	1	2026-07-30	2026-07-30	blog	
#fcfcfb	RETIRED	neutral	106	0.991	0.001	1	2026-07-30	2026-07-30	blog	
